path,has_target,pred_x,pred_y,target_x,target_y,err_px,err_km,tile_offset_x,tile_offset_y,pred_x_global,pred_y_global,pred_lat,pred_lon,target_x_global,target_y_global,target_lat,target_lon
12-10-2010_1900_213_0,1,80,163,75,160,6.226674455815913,22.081802181895966,213.0,0.0,293,163,39.23,1.71,288,160,39.35,1.51
13-10-2010_1100_213_0,1,124,209,120,204,6.31701805823816,26.038263517555983,213.0,0.0,337,209,37.38,3.5,333,204,37.58,3.34
06-11-2011_1100_213_0,1,142,129,144,130,2.67663013474018,8.149787204401274,213.0,0.0,355,129,40.59,3.85,357,130,40.54,3.93
07-11-2011_0300_213_0,1,170,152,171,155,2.6366283587132386,14.165500148390286,213.0,0.0,383,152,39.63,4.97,384,155,39.5,5.01
07-11-2011_1900_213_0,1,181,120,183,122,2.88939987033405,11.597734476556102,213.0,0.0,394,120,40.95,5.28,396,122,40.86,5.36
13-04-2012_2300_426_0,1,180,142,179,143,1.229185895002034,5.685668192116769,426.0,0.0,606,142,40.03,13.12,605,143,39.99,13.08
14-04-2012_1600_639_0,1,93,119,95,114,5.131668078933022,25.31640689351128,639.0,0.0,732,119,41.05,17.92,734,114,41.27,18.02
19-11-2013_1200_213_0,1,209,148,213,151,4.86846919899367,18.92240133354278,213.0,0.0,422,148,39.78,6.38,426,151,39.65,6.54
20-11-2013_0400_426_0,1,209,76,205,84,8.537003680160502,41.93352952925314,426.0,0.0,635,76,42.84,14.42,631,84,42.49,14.23
08-11-2014_0100_639_0,1,36,217,36,219,2.149707922571711,8.604611024243408,639.0,0.0,675,217,37.07,15.38,675,219,36.99,15.37
08-11-2014_0200_639_196,1,43,22,38,22,5.060249950215772,15.659370474959276,639.0,196.0,682,218,37.03,15.62,677,218,37.03,15.44
30-11-2014_1600_213_0,1,82,167,79,166,2.8892577949663303,10.980592228069318,213.0,0.0,295,167,39.07,1.81,292,166,39.11,1.69
01-12-2014_1400_213_0,1,156,154,161,156,4.777623293599908,18.70375127791592,213.0,0.0,369,154,39.55,4.46,374,156,39.47,4.65
02-12-2014_1800_426_0,1,113,139,109,140,4.168901918026351,13.369795947528551,426.0,0.0,539,139,40.14,10.66,535,140,40.1,10.51
01-10-2015_0300_213_0,1,202,161,201,156,4.706505626029099,22.906856171980795,213.0,0.0,415,161,39.25,6.16,414,156,39.45,6.11
29-02-2016_0400_426_0,1,47,103,49,99,4.891687121251883,19.88701477976034,426.0,0.0,473,103,41.65,8.21,475,99,41.82,8.28
29-02-2016_2000_426_0,1,106,114,103,110,4.757003897572574,20.888020152272453,426.0,0.0,532,114,41.18,10.42,529,110,41.35,10.31
28-10-2016_1100_639_196,1,87,32,87,32,0.1571423791416597,0.0,639.0,196.0,726,228,36.67,17.13,726,228,36.67,17.13
29-10-2016_0300_639_196,1,70,67,66,64,4.7636713666986985,16.829583643761225,639.0,196.0,709,263,35.34,16.4,705,260,35.45,16.27
29-10-2016_1900_639_196,1,66,64,66,65,1.2955223765331705,4.173907907277122,639.0,196.0,705,260,35.45,16.27,705,261,35.41,16.27
30-10-2016_1100_639_196,1,117,55,113,54,4.501820420971314,12.80883404957769,639.0,196.0,756,251,35.82,18.08,752,250,35.85,17.95
17-11-2017_0000_639_0,1,115,187,114,182,5.449378809748728,22.037249760778188,639.0,0.0,754,187,38.29,18.34,753,182,38.49,18.33
17-11-2017_1600_639_0,1,111,165,109,165,2.0593080919508857,6.355495385340101,639.0,0.0,750,165,39.17,18.32,748,165,39.17,18.24
18-11-2017_0800_639_0,1,124,163,123,164,1.4434229606450386,5.904602423189675,639.0,0.0,763,163,39.26,18.81,762,164,39.22,18.76
