path,start,end,x_pix,y_pix,label
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000000/rand01/12-10-2010_1900_179_43,1,16,109.0,117.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000000/rand02/12-10-2010_1900_133_6,1,16,155.0,154.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000000/rand03/12-10-2010_1900_206_87,1,16,82.0,73.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000000/rand04/12-10-2010_1900_254_28,1,16,34.0,132.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000000/rand05/12-10-2010_1900_172_68,1,16,116.0,92.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000001/rand01/12-10-2010_2000_147_50,1,16,139.0,111.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000001/rand02/12-10-2010_2000_157_78,1,16,129.0,83.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000001/rand03/12-10-2010_2000_182_57,1,16,104.0,104.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000001/rand04/12-10-2010_2000_213_92,1,16,73.0,69.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000001/rand05/12-10-2010_2000_224_96,1,16,62.0,65.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000002/rand01/12-10-2010_2100_252_74,1,16,31.0,90.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000002/rand02/12-10-2010_2100_187_66,1,16,96.0,98.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000002/rand03/12-10-2010_2100_283_32,1,16,0.0,132.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000002/rand04/12-10-2010_2100_272_14,1,16,11.0,150.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000002/rand05/12-10-2010_2100_199_95,1,16,84.0,69.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000003/rand01/12-10-2010_2200_130_39,1,16,150.0,129.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000003/rand02/12-10-2010_2200_274_44,1,16,6.0,124.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000003/rand03/12-10-2010_2200_204_74,1,16,76.0,94.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000003/rand04/12-10-2010_2200_169_4,1,16,111.0,164.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000003/rand05/12-10-2010_2200_126_2,1,16,154.0,166.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000004/rand01/12-10-2010_2300_157_49,1,16,122.0,122.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000004/rand02/12-10-2010_2300_157_71,1,16,122.0,100.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000004/rand03/12-10-2010_2300_198_63,1,16,81.0,108.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000004/rand04/12-10-2010_2300_267_25,1,16,12.0,146.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000004/rand05/12-10-2010_2300_239_69,1,16,40.0,102.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000005/rand01/13-10-2010_0000_153_75,1,16,127.0,99.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000005/rand02/13-10-2010_0000_277_47,1,16,3.0,127.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000005/rand03/13-10-2010_0000_199_60,1,16,81.0,114.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000005/rand04/13-10-2010_0000_221_55,1,16,59.0,119.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000005/rand05/13-10-2010_0000_280_43,1,16,0.0,131.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000006/rand01/13-10-2010_0100_274_56,1,16,7.0,121.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000006/rand02/13-10-2010_0100_236_33,1,16,45.0,144.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000006/rand03/13-10-2010_0100_187_34,1,16,94.0,143.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000006/rand04/13-10-2010_0100_170_88,1,16,111.0,89.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000006/rand05/13-10-2010_0100_128_31,1,16,153.0,146.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000007/rand01/13-10-2010_0200_227_91,1,16,57.0,89.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000007/rand02/13-10-2010_0200_120_35,1,16,164.0,145.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000007/rand03/13-10-2010_0200_173_33,1,16,111.0,147.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000007/rand04/13-10-2010_0200_206_87,1,16,78.0,93.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000007/rand05/13-10-2010_0200_258_11,1,16,26.0,169.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000008/rand01/13-10-2010_0300_219_76,1,16,68.0,107.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000008/rand02/13-10-2010_0300_271_74,1,16,16.0,109.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000008/rand03/13-10-2010_0300_268_54,1,16,19.0,129.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000008/rand04/13-10-2010_0300_262_17,1,16,25.0,166.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000008/rand05/13-10-2010_0300_269_13,1,16,18.0,170.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000009/rand01/13-10-2010_0400_245_81,1,16,47.0,104.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000009/rand02/13-10-2010_0400_288_35,1,16,4.0,150.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000009/rand03/13-10-2010_0400_277_15,1,16,15.0,170.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000009/rand04/13-10-2010_0400_214_61,1,16,78.0,124.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000009/rand05/13-10-2010_0400_150_37,1,16,142.0,148.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000010/rand01/13-10-2010_0500_276_25,1,16,20.0,163.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000010/rand02/13-10-2010_0500_139_45,1,16,157.0,143.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000010/rand03/13-10-2010_0500_275_48,1,16,21.0,140.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000010/rand04/13-10-2010_0500_123_13,1,16,173.0,175.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000010/rand05/13-10-2010_0500_171_36,1,16,125.0,152.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000011/rand01/13-10-2010_0600_143_67,1,16,157.0,124.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000011/rand02/13-10-2010_0600_221_99,1,16,79.0,92.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000011/rand03/13-10-2010_0600_263_81,1,16,37.0,110.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000011/rand04/13-10-2010_0600_275_7,1,16,25.0,184.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000011/rand05/13-10-2010_0600_149_37,1,16,151.0,154.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000012/rand01/13-10-2010_0700_113_0,1,16,191.0,193.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000012/rand02/13-10-2010_0700_290_62,1,16,14.0,131.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000012/rand03/13-10-2010_0700_268_51,1,16,36.0,142.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000012/rand04/13-10-2010_0700_302_43,1,16,2.0,150.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000012/rand05/13-10-2010_0700_123_32,1,16,181.0,161.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000013/rand01/13-10-2010_0800_157_30,1,16,152.0,166.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000013/rand02/13-10-2010_0800_146_72,1,16,163.0,124.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000013/rand03/13-10-2010_0800_276_76,1,16,33.0,120.0,1
/leonardo_scratch/fast/IscrC_SAME-D/airmass/aug_tracking/row_000013/rand04/13-10-2010_0800_251_39,1,16,58.0,157.0,1
